recipe_id,add_type,sum_of_additive_type,rcp_ferm_vol,location,add_per_bbl
75,Hops,1201.02,104.0000000000000000,"Boil Kettle",11.5482694185697
75,Hops,246.4,104.0000000000000000,Fermenter,2.36923071054312
75,Hops,95.2,104.0000000000000000,Whirlpool,0.91538458604079
76,Hops,728.15,108.0000000000000000,"Boil Kettle",6.74212929054543
76,Hops,129.4,108.0000000000000000,Fermenter,1.19814809163411
76,Hops,19.41,108.0000000000000000,Whirlpool,0.179722220809371
78,Hops,47,,"Boil Kettle",
78,Hops,73,,Fermenter,
78,Hops,65,,Whirlpool,
87,Hops,308.7,109.0000000000000000,"Boil Kettle",2.83211020373423
87,Hops,63.5,109.0000000000000000,Fermenter,0.582568807339449
87,Hops,52.2,109.0000000000000000,Whirlpool,0.478899054571029
89,Hops,227.5,115.0000000000000000,"Boil Kettle",1.97826086956522
89,"Sugar & Syrups",588,115.0000000000000000,Fermenter,5.11304347826087
89,"Fruit and Honey",7,115.0000000000000000,Whirlpool,0.0608695652173913
89,Hops,13.6,115.0000000000000000,Whirlpool,0.118260872882345
92,Hops,285.6,106.0000000000000000,"Boil Kettle",2.69433968022185
92,"Fruit and Honey",21.3,106.0000000000000000,Whirlpool,0.200943389028873
92,Hops,17,106.0000000000000000,Whirlpool,0.160377358490566
93,Hops,1316.4,90.0000000000000000,"Boil Kettle",14.626666937934
93,"Sugar & Syrups",150,90.0000000000000000,"Boil Kettle",1.66666666666667
93,Hops,180,90.0000000000000000,Fermenter,2
93,Hops,61,90.0000000000000000,Whirlpool,0.677777777777778
94,Hops,347,108.0000000000000000,"Boil Kettle",3.21296296296296
94,"Fruit and Honey",49,108.0000000000000000,Whirlpool,0.453703703703704
94,Hops,70,108.0000000000000000,Whirlpool,0.648148148148148
101,Hops,1057.46,105.0000000000000000,"Boil Kettle",10.0710472470238
101,Hops,138,105.0000000000000000,Fermenter,1.31428571428571
101,Hops,32.5,105.0000000000000000,Whirlpool,0.30952380952381
102,Hops,858,108.0000000000000000,"Boil Kettle",7.94444444444444
102,Hops,129.2,108.0000000000000000,Fermenter,1.19629626803928
102,Hops,47,108.0000000000000000,Whirlpool,0.435185185185185
104,Hops,191.2,108.0000000000000000,"Boil Kettle",1.77037034211335
104,"Fruit and Honey",294,108.0000000000000000,Fermenter,2.72222222222222
104,"Fruit and Honey",70,108.0000000000000000,Whirlpool,0.648148148148148
104,Hops,14,108.0000000000000000,Whirlpool,0.12962962962963
107,Hops,1327.3,104.5000000000000000,"Boil Kettle",12.7014358739533
107,Hops,132,104.5000000000000000,Fermenter,1.26315789473684
107,Hops,60,104.5000000000000000,Whirlpool,0.574162679425837
111,Hops,127.2,112.0000000000000000,"Boil Kettle",1.13571425846645
111,"Fruit and Honey",77.5,112.0000000000000000,Fermenter,0.691964285714286
111,"Fruit and Honey",6.5,112.0000000000000000,Whirlpool,0.0580357142857143
111,Hops,35.7,112.0000000000000000,Whirlpool,0.318750006811959
114,Hops,858,108.0000000000000000,"Boil Kettle",7.94444444444444
114,Hops,129.2,108.0000000000000000,Fermenter,1.19629626803928
114,"Sugar & Syrups",3782,108.0000000000000000,Fermenter,35.0185185185185
114,"Fruit and Honey",70,108.0000000000000000,Whirlpool,0.648148148148148
114,Hops,47,108.0000000000000000,Whirlpool,0.435185185185185
120,Hops,2814,85.0000000000000000,"Boil Kettle",33.1058823529412
120,"Sugar & Syrups",100,85.0000000000000000,"Boil Kettle",1.17647058823529
120,Hops,300,85.0000000000000000,Fermenter,3.52941176470588
120,Hops,80,85.0000000000000000,Whirlpool,0.941176470588235
122,Hops,83.5,17.0000000000000000,"Boil Kettle",4.91176470588235
122,Hops,17,17.0000000000000000,Fermenter,1
122,Hops,5,17.0000000000000000,Whirlpool,0.294117647058824
123,Hops,15,,"Boil Kettle",
123,Hops,10,,"Hop Back",
125,Hops,227.5,,"Boil Kettle",
125,"Fruit and Honey",5,,Whirlpool,
125,Hops,90,,Whirlpool,
126,Hops,216,,"Boil Kettle",
126,Hops,14,,Fermenter,
126,Hops,144,,Whirlpool,
128,Hops,193.2,122.0000000000000000,"Boil Kettle",1.58360665743468
128,Hops,70,122.0000000000000000,Fermenter,0.573770491803279
128,"Sugar & Syrups",1275,122.0000000000000000,Fermenter,10.4508196721311
128,Hops,40,122.0000000000000000,Whirlpool,0.327868852459016
132,Hops,1481,103.0000000000000000,"Boil Kettle",14.378640776699
132,Hops,209,103.0000000000000000,Fermenter,2.02912621359223
132,Hops,30,103.0000000000000000,"Lauter Tun",0.29126213592233
132,Hops,90,103.0000000000000000,Whirlpool,0.87378640776699
137,Hops,556,108.0000000000000000,"Boil Kettle",5.14814814814815
137,Hops,132,108.0000000000000000,Fermenter,1.22222222222222
137,Hops,40,108.0000000000000000,Whirlpool,0.37037037037037
138,Hops,106,110.0000000000000000,"Boil Kettle",0.963636363636364
138,"Fruit and Honey",7,110.0000000000000000,Fermenter,0.0636363636363636
138,"Sugar & Syrups",924,110.0000000000000000,Fermenter,8.4
138,"Fruit and Honey",20,110.0000000000000000,Whirlpool,0.181818181818182
138,Hops,30,110.0000000000000000,Whirlpool,0.272727272727273
147,Hops,197.85,112.0000000000000000,"Boil Kettle",1.76651791163853
147,Hops,21,112.0000000000000000,Whirlpool,0.1875
148,Hops,11.25,16.5000000000000000,"Boil Kettle",0.681818181818182
148,"Sugar & Syrups",100,16.5000000000000000,"Boil Kettle",6.06060606060606
148,"Fruit and Honey",1,16.5000000000000000,Fermenter,0.0606060606060606
148,"Fruit and Honey",12,16.5000000000000000,Whirlpool,0.727272727272727
148,Hops,9,16.5000000000000000,Whirlpool,0.545454545454545
149,Hops,55.8,,"Boil Kettle",
149,"Fruit and Honey",10,,Fermenter,
149,Hops,5,,Whirlpool,
150,Hops,1686,,"Boil Kettle",
150,Hops,27,,Fermenter,
150,Hops,21,,Whirlpool,
156,Hops,74.7,110.0000000000000000,"Boil Kettle",0.679090881347656
156,"Fruit and Honey",5.2,110.0000000000000000,"Brite Tank",0.047272725538774
156,"Sugar & Syrups",850,110.0000000000000000,Fermenter,7.72727272727273
159,Hops,45.5,,"Boil Kettle",
159,"Fruit and Honey",5,,"Brite Tank",
159,"Sugar & Syrups",168,,Fermenter,
159,"Fruit and Honey",5,,Whirlpool,
159,Hops,6,,Whirlpool,
164,Hops,23.256,16.5000000000000000,"Boil Kettle",1.4094545768969
164,"Fruit and Honey",11,16.5000000000000000,Fermenter,0.666666666666667
164,"Fruit and Honey",1,16.5000000000000000,Whirlpool,0.0606060606060606
164,Hops,5,16.5000000000000000,Whirlpool,0.303030303030303
172,Hops,811,16.5000000000000000,"Boil Kettle",49.1515151515151
172,"Fruit and Honey",2,16.5000000000000000,Fermenter,0.121212121212121
172,Hops,3,16.5000000000000000,Fermenter,0.181818181818182
172,"Fruit and Honey",10,16.5000000000000000,Whirlpool,0.606060606060606
172,Hops,3,16.5000000000000000,Whirlpool,0.181818181818182
174,Hops,21.25,16.0000000000000000,"Boil Kettle",1.328125
174,"Sugar & Syrups",100,16.0000000000000000,"Boil Kettle",6.25
174,"Fruit and Honey",40,16.0000000000000000,"Brite Tank",2.5
178,Hops,627.6,67.7000000000000000,"Boil Kettle",9.27030983140233
178,Hops,29,67.7000000000000000,Whirlpool,0.428360413589365
179,Hops,80,,"Boil Kettle",
181,Hops,40,,"Boil Kettle",
181,Hops,29,,Fermenter,
181,Hops,6,,Whirlpool,
184,Hops,2603.75,,"Boil Kettle",
184,Hops,192,,Whirlpool,
185,Hops,21.5,14.5000000000000000,"Boil Kettle",1.48275862068966
185,"Sugar & Syrups",55,14.5000000000000000,"Boil Kettle",3.79310344827586
185,"Fruit and Honey",30,14.5000000000000000,Fermenter,2.06896551724138
186,Hops,15.5,,"Boil Kettle",
186,"Sugar & Syrups",110,,"Boil Kettle",
186,"Fruit and Honey",5,,Fermenter,
186,"Sugar & Syrups",420,,Fermenter,
186,"Fruit and Honey",2,,Whirlpool,
186,Hops,5,,Whirlpool,
189,Hops,324,,"Boil Kettle",
190,Hops,70.6,,"Boil Kettle",
190,"Sugar & Syrups",150,,"Boil Kettle",
190,Hops,5,,Whirlpool,
193,Hops,161.7,,"Boil Kettle",
193,Hops,32,,Fermenter,
193,Hops,14,,Whirlpool,
194,Hops,25,16.0000000000000000,"Boil Kettle",1.5625
194,"Sugar & Syrups",50,16.0000000000000000,"Boil Kettle",3.125
194,"Fruit and Honey",25,16.0000000000000000,"Brite Tank",1.5625
194,"Fruit and Honey",1,16.0000000000000000,Whirlpool,0.0625
195,"Fruit and Honey",200,105.0000000000000000,"Boil Kettle",1.9047619047619
195,Hops,99.1,105.0000000000000000,"Boil Kettle",0.943809509277344
195,"Fruit and Honey",15.2,105.0000000000000000,Whirlpool,0.144761912027995
195,Hops,25,105.0000000000000000,Whirlpool,0.238095238095238
197,Hops,1533,90.0000000000000000,"Boil Kettle",17.0333333333333
197,"Sugar & Syrups",150,90.0000000000000000,"Boil Kettle",1.66666666666667
197,Hops,180,90.0000000000000000,Fermenter,2
197,Hops,57,90.0000000000000000,Whirlpool,0.633333333333333
198,Hops,14.6,17.0000000000000000,"Boil Kettle",0.85882355185116
198,"Sugar & Syrups",110,17.0000000000000000,"Boil Kettle",6.47058823529412
198,"Fruit and Honey",40,17.0000000000000000,"Brite Tank",2.35294117647059
199,Hops,141.7,,"Boil Kettle",
199,Hops,20,,Fermenter,
199,"Fruit and Honey",12,,Whirlpool,
199,Hops,10,,Whirlpool,
201,Hops,81.225,16.0000000000000000,"Boil Kettle",5.07656240463257
201,Hops,18,16.0000000000000000,Fermenter,1.125
201,Hops,10,16.0000000000000000,Whirlpool,0.625
202,Hops,75.25,16.5000000000000000,"Boil Kettle",4.56060606060606
202,"Sugar & Syrups",50,16.5000000000000000,"Boil Kettle",3.03030303030303
202,"Fruit and Honey",5,16.5000000000000000,"Brite Tank",0.303030303030303
202,"Fruit and Honey",19,16.5000000000000000,Fermenter,1.15151515151515
202,Hops,12,16.5000000000000000,Fermenter,0.727272727272727
202,Hops,9,16.5000000000000000,Whirlpool,0.545454545454545
203,Hops,890.8,16.5000000000000000,"Boil Kettle",53.9878743489583
203,Hops,8,16.5000000000000000,Fermenter,0.484848484848485
204,Hops,40,14.5000000000000000,Fermenter,2.75862068965517
204,Hops,248,14.5000000000000000,"Lauter Tun",17.1034482758621
204,Hops,30,14.5000000000000000,Whirlpool,2.06896551724138
205,"Fruit and Honey",25,13.0000000000000000,"Boil Kettle",1.92307692307692
205,Hops,120,13.0000000000000000,"Boil Kettle",9.23076923076923
205,Hops,5.5,13.0000000000000000,Whirlpool,0.423076923076923
208,Hops,1122,,"Boil Kettle",
208,Hops,5,,Whirlpool,
209,Hops,1112,,"Boil Kettle",
209,Hops,30,,Fermenter,
209,Hops,192,,Whirlpool,
212,"Fruit and Honey",300,,Fermenter,
213,Hops,92.25,16.0000000000000000,"Boil Kettle",5.765625
213,Hops,18,16.0000000000000000,Fermenter,1.125
213,"Sugar & Syrups",252,16.0000000000000000,Fermenter,15.75
213,"Fruit and Honey",8,16.0000000000000000,Whirlpool,0.5
213,Hops,9,16.0000000000000000,Whirlpool,0.5625
214,Hops,181,16.0000000000000000,"Boil Kettle",11.3125
214,Hops,24,16.0000000000000000,Fermenter,1.5
214,"Fruit and Honey",12,16.0000000000000000,Whirlpool,0.75
214,Hops,12,16.0000000000000000,Whirlpool,0.75
215,Hops,18.5,17.0000000000000000,"Boil Kettle",1.08823529411765
215,Hops,10,17.0000000000000000,Fermenter,0.588235294117647
215,Hops,4,17.0000000000000000,Whirlpool,0.235294117647059
216,Hops,30,17.0000000000000000,"Boil Kettle",1.76470588235294
216,Hops,4,17.0000000000000000,Whirlpool,0.235294117647059
217,Hops,120,134.0000000000000000,"Boil Kettle",0.895522388059702
217,"Sugar & Syrups",770,134.0000000000000000,"Boil Kettle",5.74626865671642
217,"Fruit and Honey",350,134.0000000000000000,"Brite Tank",2.61194029850746
218,Hops,89.2,,"Boil Kettle",
218,Hops,20,,Fermenter,
218,"Fruit and Honey",16,,Whirlpool,
218,Hops,12,,Whirlpool,
219,Hops,7.75,17.0000000000000000,"Boil Kettle",0.455882352941176
219,Hops,10,17.0000000000000000,Fermenter,0.588235294117647
219,Hops,10,17.0000000000000000,Whirlpool,0.588235294117647
220,Hops,22,,"Boil Kettle",
220,"Sugar & Syrups",220,,"Boil Kettle",
