rcp_id,fermenter_temperature,cu_low,cu_high,cu_setpoint,pre_run_dump_volume,time_start,time_end,original_gravity,fermenter_volume,brite_volume,clar_eff
120,35,0.400000005960464,1.20000004768372,1.20000004768372,,"9:25 AM","3:25 PM",18.69,383.2,280,73.0688935281837
102,34,0.209999993443489,0.600000023841858,0.800000011920929,,"11:15 AM","3:15 PM",14.38,219.6,195,88.7978142076503
102,34,0.209999993443489,0.600000023841858,0.800000011920929,,"11:15 AM","3:15 PM",14.38,219.6,195,88.7978142076503
143,37.5,0.430000007152557,0.800000011920929,0.800000011920929,,"9:45 AM","10:30 AM",8.76,14.8,13.1999998092651,89.1891879004401
102,32.2999992370605,0.270000010728836,0.620000004768372,0.800000011920929,,"8:30 AM","2:00 PM",14.36,219.6,204,92.896174863388
93,,0.170000001788139,0.349999994039536,0.800000011920929,,,,18.54,366.8,300,81.7884405670665
134,35,0.800000011920929,1.10000002384186,1,,"11:35 AM","12:30 PM",8.03,14.8,14.8000001907349,100.000001288749
75,38,0.300000011920929,0.800000011920929,1,,"9:00 AM","2:30 PM",15.8,210,159,75.7142857142857
75,38,0.300000011920929,0.800000011920929,1,,"9:00 AM","2:30 PM",15.8,210,159,75.7142857142857
75,36,0.400000005960464,0.600000023841858,1,,"9:00 AM","11:00 AM",15.8,205.2,181,88.2066276803119
147,,0.230000004172325,0.349999994039536,0.600000023841858,,"10:25 AM","11:55 AM",11.7,112.4,112,99.644128113879
102,45,0.150000005960464,0.5,0.800000011920929,,"8:40 AM","11:00 AM",14.38,224.8,202,89.8576512455516
145,33.5999984741211,0.100000001490116,0.300000011920929,0.800000011920929,,"10:15 AM","10:30 AM",12.1,15.4,14.5,94.1558441558442
102,35,0.200000002980232,0.349999994039536,1,,"8:35 AM","9:40 AM",14.38,109.8,96.1999969482422,87.6138405721696
102,,,,,,,,14.38,109.8,,
250,35,0.419999986886978,0.600000023841858,0.600000023841858,,"8:45 AM","10:05 AM",9.8,32.5,31.5,96.9230769230769
148,,0.230000004172325,0.800000011920929,0.800000011920929,,"9:25 AM","10:00 AM",11.04,31.2,29,92.948717948718
93,,0.170000001788139,0.349999994039536,0.800000011920929,,,,18.54,366.8,300,81.7884405670665
148,,0.230000004172325,0.800000011920929,0.800000011920929,,"9:25 AM","10:00 AM",11.04,31.2,29,92.948717948718
75,34,0.150000005960464,0.600000023841858,0.800000011920929,,"10:30 AM","12:15 PM",15.8,101.6,85.3000030517578,83.9566959170845
139,35,0.400000005960464,1.39999997615814,1.39999997615814,,"9:35 AM","10:20 AM",15.14,29.2,26.2999992370605,90.0684905378786
139,35,0.400000005960464,1.39999997615814,1.39999997615814,,"9:35 AM","10:20 AM",15.14,29.2,26.2999992370605,90.0684905378786
78,36,0.140000000596046,0.600000023841858,0.600000023841858,,"9:45 AM","12:55 AM",10.31,230.4,222.5,96.5711805555556
102,,0.180000007152557,0.25,0.600000023841858,,"9:30 AM","10:30 AM",14.42,108.3,100.5,92.797783933518
146,,0.200000002980232,1.5,1.5,,,,15.24,14.5,14.5,100
141,35,0.200000002980232,0.400000005960464,0.800000011920929,,"9:00 AM","9:15 AM",13.81,13.34,12.1999998092651,91.4542714337716
78,35,0.100000001490116,0.300000011920929,0.800000011920929,,"9:30 AM","10:30 AM",10.3,117.1,111.599998474121,95.3031583895142
